id,finding,title
1305,feco_abandoned,"fifty_eco_system has 34 open briefs all frozen at 166/146 days and zero recorded learnings — decide whether the project is paused, or bulk-close it"
1306,br023_p0_unattended,BR-023 is the only P0-Critical brief in the brain and has sat In Progress for 108 days with no activity
1307,lifeos_batch_sweep_stalled,lifeOS filed 13 bug briefs in one sweep (BR-024…BR-036) and none moved off Ready in 109 days — a whole QA pass was captured and then dropped
1308,fr054_split_parent_open,"FR-054 is still counted as open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent should be closed, not left in the open queue"
1309,br128_malformed_status,BR-128 status is the unparsed string 'Done(Resolvedbydec8d1f)' yet the brief still counts as open — status parsing is dropping whitespace and swallowing the Done state
1310,EXCLUDED,"Near-duplicate project slugs (fifty_eco_system vs fifty-eco-system, hadir vs hadir-system vs fya-hadir-app vs moca-hadir-app) are splitting one project's history across several rows"
1312,feco_unchecked_ac,"27 briefs marked Done with unchecked acceptance criteria are all in one project — this is a workflow defect in how fifty_eco_system closes briefs, not 27 findings"
1313,feco_abandoned,"34 open briefs in fifty_eco_system have all sat untouched for 167 days — the project looks abandoned, not backlogged; decide to archive or re-activate it wholesale"
1314,br023_p0_unattended,BR-023 is the brain's only P0-Critical brief and has been In Progress for 109 days with no per-brief stall suggestion raised
1316,fr054_split_parent_open,"FR-054 carries the non-vocabulary status 'Split (see FR-061, FR-062, FR-063)' and is still counted open — its children aren't in the digest to confirm the split landed"
1317,EXCLUDED,Three near-identical project slugs coexist (fifty_eco_system / fifty-eco-system / fifty-flutter-kit vs fifty-dev) and the briefs and learnings are split across them
1318,feco_unchecked_ac,"27 briefs are Done with unchecked acceptance criteria, but a commit gate now refuses exactly this — decide whether the historical backlog gets audited or grandfathered"
1321,partial_sweep_class_promote,"Partial-sweep mistakes keep recurring (learnings 1131, 1182, 1202, 1220) — the lesson is captured repeatedly but never promoted into a standing guideline"
1323,br023_p0_unattended,BR-023 is the only P0-Critical brief in the brain and has sat In Progress for 109 days with no stalled-suggestion coverage
1324,lifeos_batch_sweep_stalled,"Thirteen lifeOS briefs (BR-024..BR-036) were all filed together 110 days ago and none has moved — the whole QA sweep is unprocessed, not thirteen independent stalls"
1325,feco_slug_variant,"Two project slugs differ only by separator — fifty_eco_system (34 open briefs) vs fifty-eco-system (7 learnings, 0 briefs) — so briefs and learnings for one codebase are split across two brain projects"
1326,queue_flood_stalled_gap,62 of 66 open suggestions are single-project fifty_eco_system stalled/gap notices — the queue is drowning higher-value findings and should be collapsed per-project
1327,feco_abandoned,"fifty_eco_system holds 34 open briefs (4 of them P1-High) frozen at 167/147 days with 0 learnings — it looks abandoned rather than paused, and no brief records that decision"
1330,feco_slug_variant,"Two project slugs for the same codebase — 'fifty_eco_system' (34 open briefs, 0 learnings) and 'fifty-eco-system' (0 briefs, 7 learnings) — the brief and learning layers are split across a naming variant"
1332,br023_p0_unattended,"BR-023 is the only P0-Critical brief in the brain, In Progress and untouched for 109 days, yet no stalled suggestion has ever been raised for it"
1333,feco_unchecked_ac,27 queued 'Done but unchecked acceptance criteria' suggestions are all pre-existing debt from before commit 03adca2 shipped the closing-commit gate — batch-reconcile them rather than triaging one by one
1334,fr054_split_parent_open,"FR-054 sits open with status 'Split (see FR-061, FR-062, FR-063)' — a resolved parent still counted as an open P1 brief because 'Split' is not a terminal status in the vocabulary"
1335,sandbox_projects_active,"At least nine throwaway test/sandbox projects (test-v5-verify, agy-deny-test, igris-nobrief-*, igris-agy-hunt-*, mbrgea-test, igris-os-eval) are registered as 'active' and contribute open briefs to the real backlog"
1339,brief_id_collision,"Brief IDs collide across projects (BR-001 exists in hadir-system, attendance_app, and fifty_eco_system; BR-027/BR-028 in both hadir and lifeOS) — any tooling keyed on brief_id alone will cross-wire them"
1340,feco_slug_variant,"Two project slugs for the same codebase — 'fifty_eco_system' (34 open briefs, 0 learnings) and 'fifty-eco-system' (0 open briefs, 7 learnings) — briefs and knowledge are split across a hyphen/underscore variant"
1341,queue_flood_stalled_gap,58 of 61 open suggestions are mechanical 'stalled'/'gap' rows for one project — the review queue is saturated and will bury any genuinely novel finding
1342,feco_abandoned,"All 34 fifty_eco_system briefs froze on the same two dates (169d / 148d ago) with zero learnings recorded — this reads as an abandoned project, not 34 independent stalls"
1343,lifeos_priority_not_discriminating,"lifeOS has a P0-Critical a11y regression (BR-023) stalled 110 days behind 13 other briefs, 7 of which are also P1-High — the priority field has stopped discriminating"
1345,fr054_split_parent_open,"FR-054 is still open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent left open counts against the backlog and none of the three children appear in the digest"
1355,queue_flood_stalled_gap,60 of the 60 open suggestions are mechanical stalled/gap rows on fifty_eco_system — the review queue is saturated and will hide any real finding
1356,feco_abandoned,fifty_eco_system holds 34 open briefs and 0 learnings with no recorded activity — decide archive-vs-revive as one call instead of 34
1358,br023_p0_unattended,"lifeOS BR-023 is the only P0-Critical brief in the system, In Progress and untouched for 111 days"
1359,lifeos_batch_sweep_stalled,All 14 lifeOS briefs were filed in one 112-day-old sweep and none has moved — an audit was run and its output never entered the work loop
1361,false_success_class_promote,"'A check that reports success without having checked' has now been learned four separate times across two projects — it is a systemic defect class, not four incidents"
1364,fr054_split_parent_open,FR-054 still counts as open at P1-High while its status says it was split into FR-061/062/063 — the parent should be closed or the children linked
1365,br128_malformed_status,BR-128's status is the unspaced string 'Done(Resolvedbydec8d1f)' yet it appears in the open-briefs list — status parsing is dropping whitespace and not recognising Done
1377,feco_slug_variant,"Two project slugs exist for the same codebase — fifty_eco_system (34 open briefs, 0 learnings) and fifty-eco-system (0 briefs, 7 learnings); briefs and knowledge are split across them"
1378,feco_abandoned,"All 34 fifty_eco_system briefs share days_since_update 170 and the project has null activity — the backlog looks abandoned, not stalled; consider a bulk triage-or-archive pass rather than 30 more per-brief stall alerts"
1379,br023_p0_unattended,"BR-023 is the only P0-Critical brief in the whole brain, In Progress and untouched for 112 days, with 13 more P1/P2 lifeOS briefs behind it and zero recorded learnings for the project"
1380,br128_malformed_status,"BR-128 is recorded as ""Done(Resolvedbydec8d1f)"" yet still counts as an open brief — the status string is malformed and not matching the Done state"
1381,false_success_class_promote,"""A check that reports success without having checked"" is now recorded independently in three projects (igris-ai, mbrgea-ai, moca-ai-agent) — it is a cross-project standard candidate, not three local lessons"
1382,partial_sweep_class_promote,"mbrgea-ai's self-declared most frequent defect — correcting a claim at its source but not its siblings — has produced repeat rejections and is still only a learning, never a project standard"
1384,queue_flood_stalled_gap,66 of 69 queued suggestions are single-project fifty_eco_system stall/gap alerts — the review queue is saturated by one dormant project and will bury anything new
1392,stalled_module_stale_days,Every fifty_eco_system stalled suggestion says 68 days but the briefs now report 174 days idle — the stalled module's day counts are stale and no longer match the digest
1393,feco_abandoned,"fifty_eco_system has 34 open briefs (7 at P1-High) with 170 days of no activity — decide whether to archive the project or re-commit to it, rather than re-triaging briefs one by one"
1394,queue_flood_stalled_gap,"69 open suggestions, 56 of them mechanical stalled/gap rows for a single dormant project — the review queue needs per-project caps or grouping before any new signal can be seen"
1395,feco_unchecked_ac,"27 fifty_eco_system briefs are Done with unchecked acceptance criteria — this looks like a per-project closing habit, and the gate that now refuses such commits landed only recently"
1396,br023_p0_unattended,"lifeOS BR-023 is P0-Critical and In Progress with 115 days of no update, and no stalled suggestion has ever been raised for it"
1397,stalled_detector_gap,"The stalled module only ever fires on fifty_eco_system and attendance_app — lifeOS (14 briefs, 117 days), hadir (132 days), and hadir-system (158 days) are equally stale and produce no suggestions"
1399,false_success_class_promote,"""A check that reports success without having checked"" now has at least four independent instances across three projects — it is a cross-project standard, not a per-project learning"
1401,fr054_split_parent_open,"igris-ai FR-054 has sat in status ""Split (see FR-061, FR-062, FR-063)"" for 173 days — a split parent should be closed, and none of its three children appear anywhere in the digest"
1402,feco_abandoned,fifty_eco_system holds 34 open briefs but has had zero activity for 171 days — decide whether to archive the project or schedule a deliberate restart
1403,queue_flood_stalled_gap,The suggestion queue is 60 items and ~93% of it is two mechanical modules firing per-brief on one dormant project — add per-project rollup/caps before the queue stops being read
1404,br023_p0_unattended,lifeOS BR-023 is the only P0-Critical brief in the brain and has sat In Progress for 116 days with no learnings ever captured for the project
1405,lifeos_batch_sweep_stalled,"lifeOS accumulated 14 briefs (7 of them P1-High) in a single 117-day-old QA sweep and none has moved since — the sweep produced a backlog, not a fix cycle"
1406,fr054_split_parent_open,"FR-054 has status 'Split (see FR-061, FR-062, FR-063)' yet still counts as an open P1 brief — split parents should close, or the successors are missing"
1407,partial_sweep_class_promote,"Partial-sweep corrections keep recurring in mbrgea-ai/igris-ai — five learnings now describe the same 'fixed the source, missed the siblings' failure and it is still being rediscovered, not prevented"
1408,false_success_class_promote,'A check that reports success without having checked' is already named as a recurring class (1248) and has kept recurring since — three later learnings are fresh instances
1409,blob_push_drop,Learning 1291 reports brain pushes silently dropping BLOB-typed brief_files.content while reporting success — worth confirming no other project's briefs were lost the same way
1410,zero_learnings_projects,Four active projects hold 21 open briefs between them but have never recorded a single learning — work is going in without knowledge coming out
1411,hadir_slug_fragmentation,Hadir and Moca each exist under 3-4 separate project slugs with briefs split across them — likely fragmentation of one product's brain
1414,feco_abandoned,fifty_eco_system holds 34 open briefs but has had zero activity for 171 days — decide whether to archive the project or schedule a real revival sprint
1415,queue_flood_stalled_gap,69 open suggestions are all from two mechanical modules (stalled/gap) and 62 concern one dormant project — the review queue is drowning its own signal
1417,lifeos_dark,lifeOS has 14 open briefs including a P0 accessibility regression but zero learnings recorded — a full bug sweep produced briefs and no captured knowledge
1418,br023_p0_unattended,BR-023 is the only P0-Critical brief in the whole digest and it has sat In Progress for 116 days with no stalled-suggestion ever raised for it
1419,fr054_split_parent_open,"FR-054 still sits open with status 'Split (see FR-061, FR-062, FR-063)' after 174 days — a split parent should be closed, not left counting as open work"
1420,br128_malformed_status,BR-128 is recorded as 'Done(Resolvedbydec8d1f)' yet still appears in the open-brief set — a malformed status string is keeping resolved work open
1421,false_success_class_promote,Five recent mbrgea-ai learnings independently describe the same defect class — verifications that pass without having verified — and should be promoted into a test-standards doc
1422,partial_sweep_class_promote,Partial-sweep corrections are called this project's most frequent defect (learning 1246) and three newer learnings repeat it — codify a sweep protocol rather than relearning it
1423,mbrgea_filing_bar,mbrgea-ai carries 51 open briefs while its own learning 1262 warns that a brief spends attention whether or not anyone reads it — worth a filing-bar review
1424,feco_abandoned,"fifty_eco_system has 34 open briefs but no activity for 171 days — decide whether to archive the project or re-commit to it, rather than triaging 30+ stalled-brief suggestions one at a time"
1425,br023_p0_unattended,BR-023 is the only P0-Critical brief in the digest and has sat In Progress for 116 days with no owner activity — lifeOS shows 14 open briefs and zero recorded learnings
1427,fr054_split_parent_open,"FR-054 is still counted as an open brief 174 days after being split into FR-061/062/063 — 'Split (see ...)' is not a terminal status, so the parent never closes"
1428,feco_unchecked_ac,"27 'Done but unchecked acceptance criteria' suggestions all predate the commit that added the closing-gate — resolve them as one historical sweep, not 27 reviews"
1429,false_success_class_promote,Nine recent learnings across three projects describe the same defect — a check or sweep that reports success without having checked — which is worth promoting into a cross-project standard rather than re-learning per project
1430,zero_learnings_projects,"Four active projects with open briefs have recorded zero learnings — attendance_app (4 briefs), lifeOS (14), hadir-system (1), moca-hr-agent (1) — so nothing from that work is reaching the brain"
1431,feco_abandoned,fifty_eco_system has 34 open briefs but zero activity for 171 days — decide whether to archive the project or pick a single P1 to restart it
1432,queue_flood_stalled_gap,Suggestion queue is 96% one project — cap per-project stalled/gap suggestions so real cross-project findings aren't buried
1433,lifeos_dark,"lifeOS has 14 open briefs including a P0-Critical a11y regression (BR-023) idle 116 days, yet zero learnings and no recorded activity"
1434,stalled_detector_gap,"The stalled detector appears to miss projects with null days_since_activity — attendance_app, lifeOS, hadir-system and hadir briefs idle 118–159 days produce no suggestions"
1435,fr054_split_parent_open,"FR-054 still counts as open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent should be closed, not left In Progress for 174 days"
1436,br128_malformed_status,BR-128 status is the unparsed string 'Done(Resolvedbydec8d1f)' yet it is still listed as an open brief — whitespace-stripped status is defeating the done-filter
1438,partial_sweep_class_promote,Partial-sweep corrections are mbrgea-ai's self-declared most frequent defect and igris-ai keeps re-learning the same lesson — promote one sweep rule into project guidelines instead of logging a sixth learning
1440,hadir_slug_fragmentation,"Four hadir-family slugs (hadir, hadir-system, fya-hadir-app, moca-hadir-app) hold overlapping MOCA/Hadir UI briefs — confirm they are distinct repos or merge the brains"
1441,feco_abandoned,fifty_eco_system has 34 open briefs but zero activity for 172 days — decide whether to archive the project or schedule a dedicated cleanup sprint
1442,queue_flood_stalled_gap,The open-suggestion queue is 96% one project — 27 near-identical 'stalled 68 days' items plus 27 'Done but unchecked AC' items all from fifty_eco_system are drowning out every other signal
1443,feco_unchecked_ac,"27 fifty_eco_system briefs are marked Done with unchecked acceptance criteria — this is a closing-discipline failure, not 27 separate defects, and igris-ai already shipped a gate for it"
1444,fr054_split_parent_open,"FR-054 sits in the non-canonical status 'Split (see FR-061, FR-062, FR-063)' and still counts as an open P1 — close it now that a status-vocabulary gate exists"
1445,br128_malformed_status,BR-128 is recorded as 'Done(Resolvedbydec8d1f)' yet still appears in the open-briefs list — a resolved brief leaking into open counts
1446,lifeos_dark,lifeOS has 14 open briefs including a P0 accessibility regression but zero recorded learnings and no activity timestamp — the project is producing work the brain never captures
1447,partial_sweep_class_promote,Six recent learnings restate one rule — 'a partial sweep of a claim class is the recurring defect' — and should be consolidated into a single canonical entry or promoted to a project doc
1448,false_success_class_promote,'A check that reports success without having checked' is documented as a defect class in igris-ai but recurs unlinked in mbrgea-ai and moca-ai-agent — promote it to a global learning
1452,feco_abandoned,"fifty_eco_system has 34 open briefs and zero activity for 172 days — decide whether to archive the project or schedule a deliberate revival, rather than triaging 30 individual stall alerts"
1453,queue_flood_stalled_gap,The suggestion queue is ~90% one project's stall/gap alerts — cap per-project suggestions or the reviewable signal is buried
1454,br023_p0_unattended,BR-023 is a P0-Critical accessibility regression sitting In Progress for 117 days with no learnings ever recorded for lifeOS
1455,lifeos_batch_sweep_stalled,13 lifeOS briefs (BR-024…BR-036) were all filed the same day 118 days ago and none has moved — likely a one-off audit dump that was never scheduled into work
1456,fr054_split_parent_open,FR-054 is still counted as an open brief although its status says it was split into FR-061/062/063 — close it so the open count stops double-counting
1457,br128_malformed_status,BR-128 is listed among open briefs while its status reads 'Done (Resolved by dec8d1f)' — the status string was never normalised to a closed state
1458,EXCLUDED,Six-plus recent learnings all restate one defect class — partial claim sweeps and checks that report success without checking — and should be promoted into a coding_guidelines rule instead of accumulating as memory
1459,partial_sweep_class_promote,"mbrgea-ai learning 1246 names partial claim sweeps as its most frequent defect — the same class igris-ai learned independently, so the rule should be lifted to a global standard"
1460,feco_unchecked_ac,"27 briefs marked Done with unchecked acceptance criteria is a process failure, not 27 findings — the Done transition is not gated on criteria"
1463,feco_abandoned,"fifty_eco_system holds 34 open briefs but has had zero activity for 172 days — decide whether to archive the project or re-commit to it, rather than triaging 30+ stalled-brief suggestions one by one"
1464,br023_p0_unattended,BR-023 is the only P0-Critical brief in the whole system and has sat In Progress for 117 days with no stalled-suggestion coverage
1465,lifeos_batch_sweep_stalled,All 14 lifeOS briefs date to a single 117–118 day old QA sweep and the project reports no activity since — the sweep produced briefs but never produced work
1466,fr054_split_parent_open,"FR-054 is still counted as an open P1 brief despite a status of 'Split (see FR-061, FR-062, FR-063)' — a split parent should be closed, not left open for 175 days"
1467,br128_malformed_status,BR-128 is marked 'Done (Resolved by dec8d1f)' yet still appears in the open-brief set — a status-parsing or close-sweep gap that inflates every open-brief count
1468,feco_unchecked_ac,"27 fifty_eco_system briefs were marked Done with unchecked acceptance criteria — treat this as one process defect in the close ritual, not 27 individual cleanups"
1469,attendance_app_zero_learnings,"attendance_app has 4 open P1 briefs and a visible commit stream (Microsoft SSO, rebrand, geolocation licensing) but zero learnings recorded — shipped work is not being harvested"
1470,partial_sweep_class_promote,Five recent learnings restate one lesson — partial claim sweeps — across two projects; consolidate into a single promoted standard instead of letting the sixth recurrence be filed as new
1471,false_success_class_promote,Four independent projects logged the same root cause this period — a check that reports success without having checked — which is worth a cross-project guardrail rather than four separate learnings
1472,feco_abandoned,fifty_eco_system has 34 open briefs but zero activity in 172 days — decide whether to archive the project or schedule a deliberate revival
1473,lifeos_stalled_undetected,lifeOS has 14 briefs untouched for ~119 days — including a P0-Critical a11y regression (BR-023) — yet no stall suggestion has ever been raised for the project
1474,stalled_detector_gap,"The stalled-brief detector appears scoped to two projects — hadir, hadir-system, igris-ai and lifeOS all have 110+ day stale briefs with no corresponding suggestion"
1475,queue_flood_stalled_gap,62 of 66 queued suggestions are single-brief 'stalled'/'gap' notices from one project — collapse per-brief alerts into per-project rollups before the queue becomes unreadable
1476,false_success_class_promote,Six recent learnings restate the same root cause — a check or edit that reports success without verifying — and it is already named as a recurring class; promote it to an enforced gate rather than logging it again
1479,fr054_split_parent_open,"FR-054 has sat in a non-standard 'Split (see FR-061, FR-062, FR-063)' status for 175 days — none of its three children appear in the digest, so the split may be untracked"
1480,brief_id_collision,"BR-001 through BR-004 exist concurrently in attendance_app, hadir-system and fifty_eco_system — verify brief ids are project-scoped everywhere the recent identity fixes touched"
1481,feco_abandoned,fifty_eco_system has 34 open briefs but zero activity for 173 days — decide whether to archive the project or schedule a dedicated triage session
1482,queue_flood_stalled_gap,"The stalled+gap modules emitted 60+ near-identical suggestions, 55 of them for one dormant project — add per-project rollup/caps before the queue stops being readable"
1483,br128_malformed_status,"BR-128 is marked Done (resolved by dec8d1f) yet still appears in open_briefs — the closure did not propagate, which is exactly the failure learning 1316 describes"
1484,fr054_split_parent_open,"FR-054 has status 'Split (see FR-061, FR-062, FR-063)' but is still open and P1 after 176 days — a split parent should be closed once its children exist"
1485,br023_p0_unattended,BR-023 is the only P0-Critical brief anywhere in the digest and it has sat In Progress for 118 days with no lifeOS activity recorded at all
1486,zero_learnings_projects,"Four active projects with open briefs (lifeOS 14, attendance_app 4, hadir-system 1, moca-hr-agent 1) have zero learnings and null activity — work there is not reaching the brain"
1491,feco_abandoned,fifty_eco_system has 34 open briefs but zero activity for 173 days — decide whether to archive the project or schedule a real burn-down
1492,queue_flood_stalled_gap,The stalled+gap modules emitted ~60 near-identical suggestions all pointing at fifty_eco_system — add per-project aggregation or a dormancy cutoff before the queue becomes unreadable
1493,fr054_split_parent_open,"FR-054 is still counted as open despite status 'Split (see FR-061, FR-062, FR-063)' — close it so the successors are the only live records"
1494,br128_malformed_status,BR-128 status is the unparsed string 'Done(Resolvedbydec8d1f)' and it still appears in open_briefs — the status normalizer is not covering this form
1495,lifeos_dark,lifeOS has 14 open briefs including a P0 accessibility regression but zero learnings and no recorded activity — the brain is capturing nothing from this project
1496,EXCLUDED,Partial-sweep and false-success defects keep recurring across igris-ai and mbrgea-ai — consider promoting the sweep discipline into a coding-guidelines rule instead of another learning
1497,EXCLUDED,"BR-001/BR-027/BR-028 recur across hadir, hadir-system, attendance_app and fifty_eco_system with overlapping Moca/Hadir UI scope — check whether these are the same work tracked in four projects"
1498,feco_abandoned,"fifty_eco_system holds 34 open briefs but has seen zero activity for 173 days — decide whether to archive the project or re-commit to it, rather than triaging 30 stalled briefs one at a time"
1499,queue_flood_stalled_gap,The suggestion queue is 69 items of which ~60 are single-project 'stalled'/'gap' rows — the stalled and gap modules need per-project aggregation or a dormancy suppression before they drown out anything else
1500,fr054_split_parent_open,"FR-054 still sits open with status 'Split (see FR-061, FR-062, FR-063)' after 176 days — a split parent should be closed, not left counting as open P1 work"
1501,br128_malformed_status,"BR-128 is listed among open briefs with status 'Done(Resolvedbydec8d1f)' — a resolved brief leaking into the open set, and the mangled spacing suggests a status-parsing defect"
1502,br023_p0_unattended,lifeOS BR-023 is the only P0-Critical brief anywhere in the digest and it has been In Progress for 118 days with 13 sibling P1 bugs behind it and zero recorded learnings for the project
1503,false_success_class_promote,'A check that reports success without having checked' keeps recurring across projects — consider promoting learning 1248 into a project-context doc so it stops being re-learned
1504,merge_learnings_1304_1315,Learnings 1304 and 1315 state nearly the same rule about occurrence-granular sweeps — merge them before the pair dilutes recall for the sweep class
1505,EXCLUDED,mbrgea-ai's own most-frequent defect is the partial sweep (learning 1246) and it now carries 54 open briefs at 158 learnings — worth a targeted sweep audit rather than more briefs
1506,feco_abandoned,"fifty_eco_system holds 34 open briefs but has had zero activity for 173 days — decide whether to archive the project or schedule a working block, rather than triaging 30 stall alerts one by one"
1507,queue_flood_stalled_gap,The suggestion queue is 69 items of which ~60 are mechanical stalled/gap alerts against one dormant project — raise the stalled-module threshold or scope it to active projects before it drowns real signal
1508,feco_unchecked_ac,"27 fifty_eco_system briefs are marked Done with unchecked acceptance criteria — this is one closing-ritual defect, not 27 briefs to reopen; fix the close step or backfill the checkboxes in a single pass"
1511,lifeos_priority_not_discriminating,"lifeOS filed 14 briefs on the same day 120 days ago, nine of them P1-High and one P0-Critical, and none has moved since — the priorities are not being used as a queue"
1512,fr054_split_parent_open,"FR-054 still counts as open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent should be closed so it stops occupying the open-brief count"
1513,zero_learnings_projects,"attendance_app, lifeOS, hadir-system and moca-hr-agent have open briefs but zero learnings recorded — either work is happening without harvest, or these projects are inactive and should be marked so"
1514,feco_abandoned,"fifty_eco_system holds 34 open briefs but has had zero activity for 174 days — decide whether to archive the project or resume it, rather than triaging 30 stalled-brief suggestions one at a time"
1515,br023_p0_unattended,"BR-023 is lifeOS's only P0-Critical brief, has sat In Progress for 119 days, and — unlike fifty_eco_system's briefs — has no stalled suggestion queued for it"
1516,stalled_detector_gap,"The stalled and gap suggestion modules have produced 60 queued items covering only 2 projects — lifeOS (14 open briefs, 120 days cold) and hadir (2 briefs, 133+ days) are invisible to them"
1517,fr054_split_parent_open,"FR-054 still counts as open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent should be closed, not left occupying the P1 open list"
1519,false_success_class_promote,"""A check that reports success without having checked"" is already named as a recurring class (1248) and has since recurred at least four more times — the verification-honesty rule is not being enforced anywhere"
1520,feco_unchecked_ac,"27 briefs are marked Done with unchecked acceptance criteria, yet commit 03adca2 added a gate that refuses exactly that — the backlog predates the gate and will never be swept by it"
1521,lifeos_dark,lifeOS has 14 open briefs including a P0 and eight P1s but zero learnings recorded — the project is producing work and no knowledge
1524,feco_abandoned,"fifty_eco_system has 34 open briefs but zero activity for 174 days — decide whether to archive the project or re-scope it, rather than triaging 30 stalled briefs one by one"
1525,queue_flood_stalled_gap,The stalled/gap modules have queued 69 near-identical suggestions (30 stalled + 27 gap on fifty_eco_system alone) — add per-project caps or roll-ups before the review queue becomes unreadable
1526,feco_unchecked_ac,"27 briefs are marked Done with unchecked acceptance criteria — this is a systematic closing-ritual defect, not 27 independent oversights; fix the Done gate instead of the briefs"
1527,partial_sweep_class_promote,Partial-sweep defects (correcting a claim at its source but not its siblings) recur across at least 8 learnings in igris-ai and mbrgea-ai — promote the sweep discipline into a coding-guidelines rule instead of re-learning it
1528,br023_p0_unattended,lifeOS BR-023 is the only P0-Critical brief in the digest and has sat In Progress for 119 days with no recorded project activity
1529,fr054_split_parent_open,"FR-054 is still counted as open with status 'Split (see FR-061, FR-062, FR-063)' — a terminal split state is being tracked as live work"
1530,igris_backlog_size,"igris-ai carries 139 open briefs and 558 learnings — the largest backlog in the brain by 2.5x, with no stalled-detection coverage in the current queue"
1531,hadir_slug_fragmentation,"Five separate active projects track the same Hadir/attendance product (hadir, hadir-system, fya-hadir-app, moca-hadir-app, attendance_app) — consolidate or explicitly document the split"
1532,attendance_app_br003_before_br002,BR-002 'Rebrand to Moca Design' and BR-003 'Polish Moca Rebrand to 100% Accuracy' are both In Progress at P1-High — BR-003 presupposes BR-002 is finished
1533,attendance_app_zero_learnings,"Substantial shipped work (Microsoft SSO, i18n/Arabic, PDF reports, release signing) appears in recent commits but attendance_app has zero learnings and all four briefs sit 157 days stale"
1535,feco_abandoned,fifty_eco_system holds 34 open briefs but has had zero activity for 174 days — decide whether to archive the project or schedule a dedicated burn-down
1536,queue_flood_stalled_gap,"The stalled+gap modules have flooded the review queue with 69 open suggestions, 96% of them for one dormant project — add per-project caps or roll-ups before the queue becomes unreadable"
1537,feco_unchecked_ac,All 27 'Done with unchecked acceptance criteria' suggestions predate the closing-commit gate — verify the gate covers this project rather than triaging the 27 legacy briefs one by one
1538,br023_p0_unattended,lifeOS BR-023 is P0-Critical and has sat In Progress for 119 days with 13 other open briefs behind it and zero captured learnings
1540,fr054_split_parent_open,"FR-054 is still counted open with status 'Split (see FR-061, FR-062, FR-063)' — a terminal state wearing a non-vocabulary status string"
