id_a,id_b,entity_key,score,title_a,title_b,label
1384,1556,global,0.2432,66 of 69 queued suggestions are single-project fifty_eco_system stall/gap alerts — the review queue is saturated by one dormant project and will bury anything new,"The stalled + gap modules emit one suggestion per brief, so 69 of 69 open suggestions are two mechanical checks over a single dormant project — collapse them to per-project rollups before the queue becomes unreadable",SAME
1394,1620,global,0.2432,"69 open suggestions, 56 of them mechanical stalled/gap rows for a single dormant project — the review queue needs per-project caps or grouping before any new signal can be seen","The suggestion queue is 69 items and ~97% is two mechanical modules (stalled, gap) firing on one dormant project — add a per-project cap or dormancy filter before the queue becomes unreadable",SAME
1395,1468,project:fifty_eco_system,0.2432,"27 fifty_eco_system briefs are Done with unchecked acceptance criteria — this looks like a per-project closing habit, and the gate that now refuses such commits landed only recently","27 fifty_eco_system briefs were marked Done with unchecked acceptance criteria — treat this as one process defect in the close ritual, not 27 individual cleanups",SAME
1415,1612,global,0.2432,69 open suggestions are all from two mechanical modules (stalled/gap) and 62 concern one dormant project — the review queue is drowning its own signal,The stalled/gap modules have queued ~60 near-identical suggestions for a single dormant project — add per-project rollup or a dormancy suppression rule before the review queue becomes unreadable,SAME
1443,1672,project:fifty_eco_system,0.2432,"27 fifty_eco_system briefs are marked Done with unchecked acceptance criteria — this is a closing-discipline failure, not 27 separate defects, and igris-ai already shipped a gate for it","27 fifty_eco_system briefs were marked Done with unticked acceptance criteria — the commit 03adca2 gate that refuses this landed after them, so a one-off backfill audit is needed",SAME
1463,1537,project:fifty_eco_system,0.2432,"fifty_eco_system holds 34 open briefs but has had zero activity for 172 days — decide whether to archive the project or re-commit to it, rather than triaging 30+ stalled-brief suggestions one by one",All 27 'Done with unchecked acceptance criteria' suggestions predate the closing-commit gate — verify the gate covers this project rather than triaging the 27 legacy briefs one by one,DIFFERENT
1486,1627,global,0.2432,"Four active projects with open briefs (lifeOS 14, attendance_app 4, hadir-system 1, moca-hr-agent 1) have zero learnings and null activity — work there is not reaching the brain",Learnings are concentrated in three projects while eight active projects with open briefs have recorded none — the harvest habit is not running outside the top repos,SAME
1492,1548,global,0.2432,The stalled+gap modules emitted ~60 near-identical suggestions all pointing at fifty_eco_system — add per-project aggregation or a dormancy cutoff before the queue becomes unreadable,The suggestion queue is 60 items of which ~57 are mechanical per-brief 'stalled'/'gap' rows from two modules on one project — the stalled and gap modules need per-project aggregation before they drown real signal,SAME
1508,1613,project:fifty_eco_system,0.2432,"27 fifty_eco_system briefs are marked Done with unchecked acceptance criteria — this is one closing-ritual defect, not 27 briefs to reopen; fix the close step or backfill the checkboxes in a single pass","27 briefs are Done with unchecked acceptance criteria while learning 1368 reports the AC-parser fails open on heading variants — the backlog may be a parser artifact, not 27 real gaps",SAME
1508,1652,project:fifty_eco_system,0.2432,"27 fifty_eco_system briefs are marked Done with unchecked acceptance criteria — this is one closing-ritual defect, not 27 briefs to reopen; fix the close step or backfill the checkboxes in a single pass","27 queued 'Done but unchecked acceptance criteria' suggestions are one process gap, not 27 findings — the AC gate (commit 03adca2) landed after these briefs closed",SAME
1536,1663,global,0.2432,"The stalled+gap modules have flooded the review queue with 69 open suggestions, 96% of them for one dormant project — add per-project caps or roll-ups before the queue becomes unreadable",The stalled+gap modules emitted ~60 near-identical suggestions all for fifty_eco_system — add per-project rollup or a dormancy suppression rule so real signal isn't buried,SAME
1537,1678,project:fifty_eco_system,0.2432,All 27 'Done with unchecked acceptance criteria' suggestions predate the closing-commit gate — verify the gate covers this project rather than triaging the 27 legacy briefs one by one,"fifty_eco_system holds 34 open briefs but has had zero activity for 184 days — decide whether to archive the project or re-commit to it, rather than triaging 30 stalled-brief suggestions one by one",DIFFERENT
1548,1566,global,0.2432,The suggestion queue is 60 items of which ~57 are mechanical per-brief 'stalled'/'gap' rows from two modules on one project — the stalled and gap modules need per-project aggregation before they drown real signal,The stalled + gap detectors emitted 60+ near-identical suggestions from one dormant project — add per-project rollup/caps before the review queue becomes unreadable,SAME
1548,1690,global,0.2432,The suggestion queue is 60 items of which ~57 are mechanical per-brief 'stalled'/'gap' rows from two modules on one project — the stalled and gap modules need per-project aggregation before they drown real signal,The review queue is 98% single-project mechanical notices (34 'stalled' + 27 'Done with unchecked AC') — collapse them into two batch items so real findings are visible,SAME
1556,1605,global,0.2432,"The stalled + gap modules emit one suggestion per brief, so 69 of 69 open suggestions are two mechanical checks over a single dormant project — collapse them to per-project rollups before the queue becomes unreadable",29 of the 33 queued 'stalled' suggestions are the same finding about one dormant project — the stalled module needs per-project aggregation before it buries higher-signal findings,SAME
1569,1826,project:lifeos,0.2432,"lifeOS has 14 open briefs — including a P0-Critical a11y regression (BR-023) — but zero learnings and no recorded activity, suggesting the project was filed and never worked","lifeOS BR-023 (P0-Critical a11y regression) is the root cause of at least three other open lifeOS briefs (BR-030, BR-031, BR-035) — they are one accessibility-tree defect filed as four, and fixing BR-023 likely closes the rest",DIFFERENT
1302,1318,project:fifty_eco_system,0.2424,"Commit 03adca2 now refuses closing commits on unticked criteria, but the 27 already-Done briefs flagged by the gap module were never reconciled","27 briefs are Done with unchecked acceptance criteria, but a commit gate now refuses exactly this — decide whether the historical backlog gets audited or grandfathered",SAME
1302,1652,project:fifty_eco_system,0.2424,"Commit 03adca2 now refuses closing commits on unticked criteria, but the 27 already-Done briefs flagged by the gap module were never reconciled","27 queued 'Done but unchecked acceptance criteria' suggestions are one process gap, not 27 findings — the AC gate (commit 03adca2) landed after these briefs closed",SAME
1310,1340,project:fifty_eco_system,0.2424,"Near-duplicate project slugs (fifty_eco_system vs fifty-eco-system, hadir vs hadir-system vs fya-hadir-app vs moca-hadir-app) are splitting one project's history across several rows","Two project slugs for the same codebase — 'fifty_eco_system' (34 open briefs, 0 learnings) and 'fifty-eco-system' (0 open briefs, 7 learnings) — briefs and knowledge are split across a hyphen/underscore variant",EXCLUDED
1312,1318,project:fifty_eco_system,0.2424,"27 briefs marked Done with unchecked acceptance criteria are all in one project — this is a workflow defect in how fifty_eco_system closes briefs, not 27 findings","27 briefs are Done with unchecked acceptance criteria, but a commit gate now refuses exactly this — decide whether the historical backlog gets audited or grandfathered",SAME
1312,1577,project:fifty_eco_system,0.2424,"27 briefs marked Done with unchecked acceptance criteria are all in one project — this is a workflow defect in how fifty_eco_system closes briefs, not 27 findings","27 queued 'Done but unchecked acceptance criteria' suggestions all land on one project — learning 1368 says the AC parser fails open on heading variants, so investigate the parser instead of the 27 briefs",SAME
1312,1613,project:fifty_eco_system,0.2424,"27 briefs marked Done with unchecked acceptance criteria are all in one project — this is a workflow defect in how fifty_eco_system closes briefs, not 27 findings","27 briefs are Done with unchecked acceptance criteria while learning 1368 reports the AC-parser fails open on heading variants — the backlog may be a parser artifact, not 27 real gaps",SAME
1326,1525,global,0.2424,62 of 66 open suggestions are single-project fifty_eco_system stalled/gap notices — the queue is drowning higher-value findings and should be collapsed per-project,The stalled/gap modules have queued 69 near-identical suggestions (30 stalled + 27 gap on fifty_eco_system alone) — add per-project caps or roll-ups before the review queue becomes unreadable,SAME
1384,1566,global,0.2424,66 of 69 queued suggestions are single-project fifty_eco_system stall/gap alerts — the review queue is saturated by one dormant project and will bury anything new,The stalled + gap detectors emitted 60+ near-identical suggestions from one dormant project — add per-project rollup/caps before the review queue becomes unreadable,SAME
1418,1557,project:lifeos,0.2424,BR-023 is the only P0-Critical brief in the whole digest and it has sat In Progress for 116 days with no stalled-suggestion ever raised for it,"lifeOS carries 14 open briefs including a P0 accessibility regression (BR-023) and 7 P1 bugs, all untouched for ~123 days, yet the project has produced zero learnings and no suggestion has ever been raised for it",EXCLUDED
1424,1696,project:fifty_eco_system,0.2424,"fifty_eco_system has 34 open briefs but no activity for 171 days — decide whether to archive the project or re-commit to it, rather than triaging 30+ stalled-brief suggestions one at a time",fifty_eco_system holds 33 open briefs with zero activity for 185 days — the whole backlog is stale and needs a bulk triage or archive decision,SAME
1428,1526,project:fifty_eco_system,0.2424,"27 'Done but unchecked acceptance criteria' suggestions all predate the commit that added the closing-gate — resolve them as one historical sweep, not 27 reviews","27 briefs are marked Done with unchecked acceptance criteria — this is a systematic closing-ritual defect, not 27 independent oversights; fix the Done gate instead of the briefs",SAME
1428,1567,project:fifty_eco_system,0.2424,"27 'Done but unchecked acceptance criteria' suggestions all predate the commit that added the closing-gate — resolve them as one historical sweep, not 27 reviews","27 fifty_eco_system briefs were marked Done with unchecked acceptance criteria — the closing ritual does not enforce the AC gate, so 'Done' carries no verification signal here",SAME
1468,1680,project:fifty_eco_system,0.2424,"27 fifty_eco_system briefs were marked Done with unchecked acceptance criteria — treat this as one process defect in the close ritual, not 27 individual cleanups","27 fifty_eco_system briefs are Done with unchecked acceptance criteria — the same failure mode learning 1368 measured in mbrgea-ai (a fail-open AC parser), so check the parser before re-auditing the briefs",SAME
1472,1821,project:fifty_eco_system,0.2424,fifty_eco_system has 34 open briefs but zero activity in 172 days — decide whether to archive the project or schedule a deliberate revival,"fifty_eco_system has 33 open briefs but only 7 learnings in 187 days — the project consumes brief-writing effort and returns almost no knowledge, which is the strongest single argument for archiving it outright",SAME
1485,1553,project:lifeos,0.2424,BR-023 is the only P0-Critical brief anywhere in the digest and it has sat In Progress for 118 days with no lifeOS activity recorded at all,"lifeOS carries 14 open briefs including a P0 accessibility regression and eight P1 bugs, but has zero learnings and no recorded activity — the project is accumulating defects with no knowledge capture at all",DIFFERENT
1495,1502,project:lifeos,0.2424,lifeOS has 14 open briefs including a P0 accessibility regression but zero learnings and no recorded activity — the brain is capturing nothing from this project,lifeOS BR-023 is the only P0-Critical brief anywhere in the digest and it has been In Progress for 118 days with 13 sibling P1 bugs behind it and zero recorded learnings for the project,DIFFERENT
1511,1701,project:lifeos,0.2424,"lifeOS filed 14 briefs on the same day 120 days ago, nine of them P1-High and one P0-Critical, and none has moved since — the priorities are not being used as a queue",Nine of lifeOS's fourteen open briefs are P1-High and all sit at 132 days — the priority field carries no ordering information,SAME
1526,1680,project:fifty_eco_system,0.2424,"27 briefs are marked Done with unchecked acceptance criteria — this is a systematic closing-ritual defect, not 27 independent oversights; fix the Done gate instead of the briefs","27 fifty_eco_system briefs are Done with unchecked acceptance criteria — the same failure mode learning 1368 measured in mbrgea-ai (a fail-open AC parser), so check the parser before re-auditing the briefs",SAME
1530,1823,project:igris-ai,0.2424,"igris-ai carries 139 open briefs and 558 learnings — the largest backlog in the brain by 2.5x, with no stalled-detection coverage in the current queue","igris-ai carries 166 open briefs while shipping daily — at the observed harvest rate the backlog is write-only, and the same containment/verification themes keep recurring as fresh learnings instead of closing briefs",SAME
1553,1621,project:lifeos,0.2424,"lifeOS carries 14 open briefs including a P0 accessibility regression and eight P1 bugs, but has zero learnings and no recorded activity — the project is accumulating defects with no knowledge capture at all","BR-023 is lifeOS's only P0-Critical brief, has sat In Progress for 124 days, and the project has zero recorded learnings — no one is working it",DIFFERENT
1557,1701,project:lifeos,0.2424,"lifeOS carries 14 open briefs including a P0 accessibility regression (BR-023) and 7 P1 bugs, all untouched for ~123 days, yet the project has produced zero learnings and no suggestion has ever been raised for it",Nine of lifeOS's fourteen open briefs are P1-High and all sit at 132 days — the priority field carries no ordering information,EXCLUDED
1566,1605,global,0.2424,The stalled + gap detectors emitted 60+ near-identical suggestions from one dormant project — add per-project rollup/caps before the review queue becomes unreadable,29 of the 33 queued 'stalled' suggestions are the same finding about one dormant project — the stalled module needs per-project aggregation before it buries higher-signal findings,SAME
1567,1680,project:fifty_eco_system,0.2424,"27 fifty_eco_system briefs were marked Done with unchecked acceptance criteria — the closing ritual does not enforce the AC gate, so 'Done' carries no verification signal here","27 fifty_eco_system briefs are Done with unchecked acceptance criteria — the same failure mode learning 1368 measured in mbrgea-ai (a fail-open AC parser), so check the parser before re-auditing the briefs",SAME
1606,1652,project:fifty_eco_system,0.2424,27 briefs closed as Done with unticked acceptance criteria predate the new closing-commit gate — confirm the gate is active for this project or backfill the criteria,"27 queued 'Done but unchecked acceptance criteria' suggestions are one process gap, not 27 findings — the AC gate (commit 03adca2) landed after these briefs closed",SAME
901,1568,project:igris-ai,0.2414,FR-054 was split into FR-061/062/063 127 days ago but the parent brief is still open — close/archive it to stop counting a superseded parent as active work.,"FR-054 still sits in open_briefs with status 'Split (see FR-061, FR-062, FR-063)' after 180 days — a split parent should be closed, not left counting against open work",SAME
1272,1441,project:fifty_eco_system,0.2414,All 34 fifty_eco_system briefs are 143-163 days untouched with no project activity — archive or park the project rather than letting it generate suggestions forever,fifty_eco_system has 34 open briefs but zero activity for 172 days — decide whether to archive the project or schedule a dedicated cleanup sprint,SAME
1272,1481,project:fifty_eco_system,0.2414,All 34 fifty_eco_system briefs are 143-163 days untouched with no project activity — archive or park the project rather than letting it generate suggestions forever,fifty_eco_system has 34 open briefs but zero activity for 173 days — decide whether to archive the project or schedule a dedicated triage session,SAME
1272,1491,project:fifty_eco_system,0.2414,All 34 fifty_eco_system briefs are 143-163 days untouched with no project activity — archive or park the project rather than letting it generate suggestions forever,fifty_eco_system has 34 open briefs but zero activity for 173 days — decide whether to archive the project or schedule a real burn-down,SAME
1272,1662,project:fifty_eco_system,0.2414,All 34 fifty_eco_system briefs are 143-163 days untouched with no project activity — archive or park the project rather than letting it generate suggestions forever,fifty_eco_system has 34 open briefs but zero activity for 180 days — decide whether to archive the project or schedule a dedicated cleanup pass,SAME
1272,1686,project:fifty_eco_system,0.2414,All 34 fifty_eco_system briefs are 143-163 days untouched with no project activity — archive or park the project rather than letting it generate suggestions forever,fifty_eco_system has 34 open briefs but zero activity for 185 days — decide whether to archive the project or schedule a deliberate revival sprint,SAME
1276,1410,global,0.2414,"Seven projects carry 100+ open briefs between them but zero learnings — fifty_eco_system (34), lifeOS (14), attendance_app (4) never ran /harvest",Four active projects hold 21 open briefs between them but have never recorded a single learning — work is going in without knowledge coming out,SAME
1291,1621,project:lifeos,0.2414,lifeOS has 14 open briefs including a P0-Critical a11y regression but zero learnings and no recorded activity — work is being briefed but nothing is being harvested,"BR-023 is lifeOS's only P0-Critical brief, has sat In Progress for 124 days, and the project has zero recorded learnings — no one is working it",DIFFERENT
1295,1457,project:fifty_eco_system,0.2414,BR-128's status is the unparsed string 'Done(Resolvedbydec8d1f)' — a done brief is leaking into the open-briefs list via a status field that lost its whitespace,BR-128 is listed among open briefs while its status reads 'Done (Resolved by dec8d1f)' — the status string was never normalised to a closed state,SAME
1318,1460,project:fifty_eco_system,0.2414,"27 briefs are Done with unchecked acceptance criteria, but a commit gate now refuses exactly this — decide whether the historical backlog gets audited or grandfathered","27 briefs marked Done with unchecked acceptance criteria is a process failure, not 27 findings — the Done transition is not gated on criteria",SAME
1326,1801,global,0.2414,62 of 66 open suggestions are single-project fifty_eco_system stalled/gap notices — the queue is drowning higher-value findings and should be collapsed per-project,"44 of the 60 open suggestions are low-value edge_inference rows — the operator's review queue is 73% noise, which will bury the 16 substantive findings",DIFFERENT
1365,1602,project:fifty_eco_system,0.2414,BR-128's status is the unspaced string 'Done(Resolvedbydec8d1f)' yet it appears in the open-briefs list — status parsing is dropping whitespace and not recognising Done,"BR-128 shows status 'Done(Resolvedbydec8d1f)' — whitespace-stripped and still listed as open, suggesting the status field is free text the open-brief filter cannot read",SAME
1365,1626,project:fifty_eco_system,0.2414,BR-128's status is the unspaced string 'Done(Resolvedbydec8d1f)' yet it appears in the open-briefs list — status parsing is dropping whitespace and not recognising Done,"BR-128 shows status 'Done(Resolvedbydec8d1f)' — a whitespace-stripped free-text status that a Done-state parser will not match, and it is still counted as an open brief",SAME
1380,1467,project:fifty_eco_system,0.2414,"BR-128 is recorded as ""Done(Resolvedbydec8d1f)"" yet still counts as an open brief — the status string is malformed and not matching the Done state",BR-128 is marked 'Done (Resolved by dec8d1f)' yet still appears in the open-brief set — a status-parsing or close-sweep gap that inflates every open-brief count,SAME
1380,1501,project:fifty_eco_system,0.2414,"BR-128 is recorded as ""Done(Resolvedbydec8d1f)"" yet still counts as an open brief — the status string is malformed and not matching the Done state","BR-128 is listed among open briefs with status 'Done(Resolvedbydec8d1f)' — a resolved brief leaking into the open set, and the mangled spacing suggests a status-parsing defect",SAME
1401,1419,project:igris-ai,0.2414,"igris-ai FR-054 has sat in status ""Split (see FR-061, FR-062, FR-063)"" for 173 days — a split parent should be closed, and none of its three children appear anywhere in the digest","FR-054 still sits open with status 'Split (see FR-061, FR-062, FR-063)' after 174 days — a split parent should be closed, not left counting as open work",SAME
1401,1500,project:igris-ai,0.2414,"igris-ai FR-054 has sat in status ""Split (see FR-061, FR-062, FR-063)"" for 173 days — a split parent should be closed, and none of its three children appear anywhere in the digest","FR-054 still sits open with status 'Split (see FR-061, FR-062, FR-063)' after 176 days — a split parent should be closed, not left counting as open P1 work",SAME
1415,1453,global,0.2414,69 open suggestions are all from two mechanical modules (stalled/gap) and 62 concern one dormant project — the review queue is drowning its own signal,The suggestion queue is ~90% one project's stall/gap alerts — cap per-project suggestions or the reviewable signal is buried,SAME
1417,1595,project:lifeos,0.2414,lifeOS has 14 open briefs including a P0 accessibility regression but zero learnings recorded — a full bug sweep produced briefs and no captured knowledge,lifeOS has 14 open briefs untouched for ~124 days — including a P0-Critical a11y regression (BR-023) — yet zero of them appear in the stalled queue,DIFFERENT
1419,1554,project:igris-ai,0.2414,"FR-054 still sits open with status 'Split (see FR-061, FR-062, FR-063)' after 174 days — a split parent should be closed, not left counting as open work",FR-054 is still listed as an open P1 brief 177 days after being split into FR-061/062/063 — a split parent left open inflates the backlog and none of its children appear in the digest,SAME
1432,1482,global,0.2414,Suggestion queue is 96% one project — cap per-project stalled/gap suggestions so real cross-project findings aren't buried,"The stalled+gap modules emitted 60+ near-identical suggestions, 55 of them for one dormant project — add per-project rollup/caps before the queue stops being readable",SAME
1432,1663,global,0.2414,Suggestion queue is 96% one project — cap per-project stalled/gap suggestions so real cross-project findings aren't buried,The stalled+gap modules emitted ~60 near-identical suggestions all for fifty_eco_system — add per-project rollup or a dormancy suppression rule so real signal isn't buried,SAME
1432,1671,global,0.2414,Suggestion queue is 96% one project — cap per-project stalled/gap suggestions so real cross-project findings aren't buried,"The stalled + gap modules have queued ~60 near-identical suggestions, 55 of them for one dormant project — add per-project rollup/caps so the review queue stays readable",SAME
1453,1482,global,0.2414,The suggestion queue is ~90% one project's stall/gap alerts — cap per-project suggestions or the reviewable signal is buried,"The stalled+gap modules emitted 60+ near-identical suggestions, 55 of them for one dormant project — add per-project rollup/caps before the queue stops being readable",SAME
1453,1663,global,0.2414,The suggestion queue is ~90% one project's stall/gap alerts — cap per-project suggestions or the reviewable signal is buried,The stalled+gap modules emitted ~60 near-identical suggestions all for fifty_eco_system — add per-project rollup or a dormancy suppression rule so real signal isn't buried,SAME
1453,1671,global,0.2414,The suggestion queue is ~90% one project's stall/gap alerts — cap per-project suggestions or the reviewable signal is buried,"The stalled + gap modules have queued ~60 near-identical suggestions, 55 of them for one dormant project — add per-project rollup/caps so the review queue stays readable",SAME
1454,1557,project:lifeos,0.2414,BR-023 is a P0-Critical accessibility regression sitting In Progress for 117 days with no learnings ever recorded for lifeOS,"lifeOS carries 14 open briefs including a P0 accessibility regression (BR-023) and 7 P1 bugs, all untouched for ~123 days, yet the project has produced zero learnings and no suggestion has ever been raised for it",EXCLUDED
1460,1537,project:fifty_eco_system,0.2414,"27 briefs marked Done with unchecked acceptance criteria is a process failure, not 27 findings — the Done transition is not gated on criteria",All 27 'Done with unchecked acceptance criteria' suggestions predate the closing-commit gate — verify the gate covers this project rather than triaging the 27 legacy briefs one by one,SAME
1495,1528,project:lifeos,0.2414,lifeOS has 14 open briefs including a P0 accessibility regression but zero learnings and no recorded activity — the brain is capturing nothing from this project,lifeOS BR-023 is the only P0-Critical brief in the digest and has sat In Progress for 119 days with no recorded project activity,DIFFERENT
1495,1538,project:lifeos,0.2414,lifeOS has 14 open briefs including a P0 accessibility regression but zero learnings and no recorded activity — the brain is capturing nothing from this project,lifeOS BR-023 is P0-Critical and has sat In Progress for 119 days with 13 other open briefs behind it and zero captured learnings,DIFFERENT
1500,1554,project:igris-ai,0.2414,"FR-054 still sits open with status 'Split (see FR-061, FR-062, FR-063)' after 176 days — a split parent should be closed, not left counting as open P1 work",FR-054 is still listed as an open P1 brief 177 days after being split into FR-061/062/063 — a split parent left open inflates the backlog and none of its children appear in the digest,SAME
1633,1664,project:fifty_eco_system,0.2414,"27 fifty_eco_system briefs were closed with unchecked acceptance criteria — treat as one process failure, not 27 separate reviews","27 briefs marked Done with unchecked acceptance criteria points at a broken completion gate, not 27 separate oversights — verify the AC parser isn't failing open here",SAME
1633,1680,project:fifty_eco_system,0.2414,"27 fifty_eco_system briefs were closed with unchecked acceptance criteria — treat as one process failure, not 27 separate reviews","27 fifty_eco_system briefs are Done with unchecked acceptance criteria — the same failure mode learning 1368 measured in mbrgea-ai (a fail-open AC parser), so check the parser before re-auditing the briefs",SAME
1633,1691,project:fifty_eco_system,0.2414,"27 fifty_eco_system briefs were closed with unchecked acceptance criteria — treat as one process failure, not 27 separate reviews","27 fifty_eco_system briefs are marked Done with unchecked acceptance criteria — the Done transition is not gated, matching the parser fail-open defect already learned in mbrgea-ai",SAME
1274,1345,project:igris-ai,0.2400,"FR-054's status is the free-text 'Split (see FR-061, FR-062, FR-063)' — a split brief has no terminal state, so it counts as open forever","FR-054 is still open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent left open counts against the backlog and none of the three children appear in the digest",SAME
1294,1345,project:igris-ai,0.2400,"FR-054 has sat in status 'Split (see FR-061, FR-062, FR-063)' for 163 days — a split parent should be closed, not left open as a P1","FR-054 is still open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent left open counts against the backlog and none of the three children appear in the digest",SAME
1304,1316,project:igris-ai,0.2400,"FR-054 sits in a non-canonical status 'Split (see FR-061, FR-062, FR-063)' that the new status vocabulary normalization does not cover","FR-054 carries the non-vocabulary status 'Split (see FR-061, FR-062, FR-063)' and is still counted open — its children aren't in the digest to confirm the split landed",SAME
1308,1444,project:igris-ai,0.2400,"FR-054 is still counted as open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent should be closed, not left in the open queue","FR-054 sits in the non-canonical status 'Split (see FR-061, FR-062, FR-063)' and still counts as an open P1 — close it now that a status-vocabulary gate exists",SAME
1308,1456,project:igris-ai,0.2400,"FR-054 is still counted as open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent should be closed, not left in the open queue",FR-054 is still counted as an open brief although its status says it was split into FR-061/062/063 — close it so the open count stops double-counting,SAME
1308,1601,project:igris-ai,0.2400,"FR-054 is still counted as open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent should be closed, not left in the open queue",FR-054 is still counted open although its status says it was split into FR-061/062/063 — close it so the open-brief count reflects real work,SAME
1332,1674,project:lifeos,0.2400,"BR-023 is the only P0-Critical brief in the brain, In Progress and untouched for 109 days, yet no stalled suggestion has ever been raised for it",lifeOS has 14 briefs including a P0-Critical accessibility regression (BR-023) untouched for 129 days and no recorded project activity,DIFFERENT
1345,1529,project:igris-ai,0.2400,"FR-054 is still open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent left open counts against the backlog and none of the three children appear in the digest","FR-054 is still counted as open with status 'Split (see FR-061, FR-062, FR-063)' — a terminal split state is being tracked as live work",SAME
1345,1540,project:igris-ai,0.2400,"FR-054 is still open with status 'Split (see FR-061, FR-062, FR-063)' — a split parent left open counts against the backlog and none of the three children appear in the digest","FR-054 is still counted open with status 'Split (see FR-061, FR-062, FR-063)' — a terminal state wearing a non-vocabulary status string",SAME
1356,1472,project:fifty_eco_system,0.2400,fifty_eco_system holds 34 open briefs and 0 learnings with no recorded activity — decide archive-vs-revive as one call instead of 34,fifty_eco_system has 34 open briefs but zero activity in 172 days — decide whether to archive the project or schedule a deliberate revival,SAME
1396,1649,project:lifeos,0.2400,"lifeOS BR-023 is P0-Critical and In Progress with 115 days of no update, and no stalled suggestion has ever been raised for it",lifeOS carries 14 open briefs — including a P0 a11y regression (BR-023) and eight P1 bugs — untouched for ~126 days with no learnings ever captured,DIFFERENT
1406,1673,project:igris-ai,0.2400,"FR-054 has status 'Split (see FR-061, FR-062, FR-063)' yet still counts as an open P1 brief — split parents should close, or the successors are missing","FR-054 has sat open in status 'Split (see FR-061, FR-062, FR-063)' for 187 days — a split parent should be closed once its children exist",SAME
1427,1669,project:igris-ai,0.2400,"FR-054 is still counted as an open brief 174 days after being split into FR-061/062/063 — 'Split (see ...)' is not a terminal status, so the parent never closes","FR-054 has been sitting in the non-terminal status 'Split (see FR-061, FR-062, FR-063)' for 183 days — close it or restore it to a real status",SAME
